,AGO,BOL,BRA,BDI,ECU,IDN,MDG,MWI,PNG,PRY,PER,RWA,TLS,ZWE,COG,CUB,DOM,HTI,PHL,TZA,ZMB,BEN,CMR,CAF,COL,COD,CRI,CIV,SLV,GNQ,ETH,GAB,GHA,GTM,GIN,GUY,HND,IND,JAM,KEN,LAO,LBR,MEX,NPL,NIC,NGA,PAN,SLE,LKA,THA,TGO,TTO,UGA,VEN,VNM,YEM
1911,76.87444,95.21242,143.30193,92.2386,154.47253,204.57686,119.21855,76.13932,234.18062,96.89938,125.87063,86.85052,95.70179,59.037903,131.58977,88.83905,124.18656,110.80125,188.00974,81.91011,74.03409,87.94825,121.007675,108.16703,216.60632,128.965,228.48515,149.49982,144.31154,137.99313,63.487206,133.0353,108.36184,202.38377,165.63809,199.70206,163.86502,81.36171,119.94334,54.298668,123.81001,231.19351,51.317036,116.18303,190.48021,102.56533,217.49321,245.69797,121.70024,121.5473,92.61833,134.61166,94.41027,164.2521,141.88832,13.945941
1912,86.10497,91.839554,141.96117,96.64737,152.36964,232.1511,111.67268,75.09695,247.36882,85.65895,125.49426,93.86667,122.19108,40.258835,146.66043,90.4631,120.55027,114.27958,182.92825,82.89754,74.02696,70.06126,129.24437,112.871254,219.34424,123.379105,219.44453,130.30858,147.82822,188.15686,57.302277,154.83438,91.41433,213.02039,153.88594,163.95,165.9381,86.54395,129.4825,58.291485,130.31653,214.05733,54.624237,107.23851,189.27539,84.47032,211.92326,228.95676,143.66519,135.22356,75.05333,136.83833,100.534065,164.10397,140.51178,13.623964
1913,74.686,91.90419,144.5592,104.63948,187.39615,228.70357,129.4838,87.49812,245.45894,86.1518,130.1148,96.70521,115.23452,45.10105,108.41925,99.56286,108.497314,115.63833,200.41536,89.46016,75.665695,83.80746,115.20841,96.67679,223.83911,110.9224,245.22969,129.83154,149.88013,143.92549,54.16978,110.68213,99.26021,222.86563,152.35759,174.69373,168.67783,85.86879,119.764175,53.86947,143.69559,198.69284,59.20982,125.07418,200.18242,86.95622,222.74808,216.19775,153.64069,134.93617,86.59881,143.20999,81.91602,169.15007,153.66782,13.662262
1914,67.893745,87.66865,137.56192,100.82237,152.49724,192.26208,129.81561,77.71432,208.89616,100.18139,125.673935,103.80729,119.09524,61.89729,134.44089,82.37988,124.52124,104.94208,159.0482,76.150116,76.721504,67.60936,125.36696,113.74049,203.45998,128.83028,181.47708,111.73346,148.60193,173.0853,70.17223,139.69339,87.75218,218.00789,133.44821,179.34415,164.81175,91.71066,84.18916,53.32489,137.33473,163.10483,60.07003,108.18536,172.75807,78.30565,198.39438,184.07883,140.96765,134.5939,84.6119,141.04166,100.31772,162.04431,151.96188,13.610232
1915,72.611984,90.81847,129.67046,118.53684,193.59152,228.15332,120.73694,78.27699,262.02148,89.69939,129.56297,118.75781,107.25952,59.660442,125.22838,152.74655,145.23602,183.16292,194.19882,80.165344,73.96481,77.611984,125.85415,102.84824,224.80862,120.39508,268.54974,124.95235,147.3032,215.9946,69.81217,151.90533,94.21846,212.88528,164.17813,186.90463,167.32083,89.47924,324.21417,55.676186,165.52388,213.60017,52.95556,125.71189,208.7034,98.06745,234.23372,246.57927,118.94706,145.1022,87.059525,137.87332,100.51546,158.26115,164.09071,13.14728
1916,88.326195,85.53209,145.03726,95.30439,181.65958,253.41824,135.38129,91.98228,290.89215,81.47959,129.38968,100.68125,152.57024,46.081474,139.76561,123.038574,141.93576,173.39584,228.48111,88.79667,79.17946,89.17895,141.06924,116.66051,228.51143,129.56697,292.90753,126.26062,147.26282,206.25882,75.62058,160.58641,111.60576,226.84746,148.23557,196.57397,167.85506,102.1455,276.09833,58.822807,146.16037,208.30801,59.602814,132.29218,217.46536,106.87118,246.38217,229.67746,108.33799,144.75098,100.622856,139.41,96.52443,163.90097,147.17532,14.346201
1917,77.85364,86.5211,148.49002,105.84824,192.89188,251.44812,120.60075,84.93849,277.1341,72.410324,130.92935,107.001564,145.88809,56.02485,132.78543,93.773926,121.30483,134.44876,224.99149,82.86418,82.83218,102.13246,116.846756,109.0235,241.05122,126.47996,272.38544,135.3684,147.26282,192.97206,69.05335,149.72395,118.75608,209.75461,151.48459,189.35928,166.94925,104.99858,171.54333,61.970406,131.62662,208.27548,47.097664,133.31747,210.54349,99.52065,233.86551,225.18784,132.16911,136.99307,116.98334,138.81168,105.988266,163.3317,154.34459,13.520769
1918,79.85248,89.678764,145.00023,88.46009,179.36195,205.95525,111.9713,76.827225,229.34244,95.54479,129.52228,89.60261,153.96725,77.7874,122.35675,84.27762,119.1379,121.90834,195.91478,66.78429,74.672585,83.13319,140.23349,109.28395,216.60709,117.33567,201.67656,114.52049,147.26282,195.89363,55.891083,145.36719,99.5278,209.52115,155.34404,193.69666,166.03943,73.67007,134.73416,39.74102,149.99818,188.8685,52.50769,106.42063,180.79257,103.49898,202.89186,205.79436,119.78334,125.37532,92.50476,137.43668,69.41473,159.12297,165.66054,13.401382
1919,76.11062,90.55518,139.05269,102.18289,168.86456,209.24863,123.331985,78.839676,271.99023,100.08916,128.03514,98.94375,96.21905,61.305473,123.72479,118.55131,118.04032,131.795,181.02167,74.846344,84.34188,77.38962,131.6351,114.86488,215.99402,127.50425,275.49323,104.93506,150.26923,176.94559,52.212944,143.92319,87.409195,235.4366,145.70885,183.48015,169.21384,93.665634,208.14499,49.334625,115.05302,172.5465,64.87472,115.8441,204.52448,88.36353,237.27151,204.57883,139.49608,123.16782,80.48452,139.34833,102.471924,150.83878,135.56447,13.445294
1920,77.94877,91.40808,145.58664,95.27544,140.67065,219.74597,122.55701,88.185684,287.1245,88.86846,125.79143,95.603645,116.85952,56.392773,127.9269,90.89916,99.174194,87.185,182.65804,74.61925,80.68903,80.01667,126.93054,114.96608,214.20981,121.45681,214.38464,99.28111,149.49167,183.47598,61.473907,149.59595,83.97874,215.4399,140.69084,163.6927,166.21622,78.46711,98.707504,51.886494,150.70973,163.62134,50.349583,101.21209,187.05325,100.99349,208.99089,181.73897,125.119606,123.989075,82.32024,142.37332,95.675644,160.78197,171.94301,14.046633
